name,region,website,address,phone
Petrovich,Санкт-Петербург,petrovich.ru,"Индустриальный пр., 73, Санкт-Петербург, Русија, 195279",+7 812 334-88-88
Stroitel',Санкт-Петербург,ststroitel.ru,"пр. Юрия Гагарина, 34 корпус 2, лит. А, Санкт-Петербург, Русија, 196143",+7 812 364-72-15
Stroymarket Saturn,Санкт-Петербург,saturn.net,"Литовская ул., 15, Санкт-Петербург, Русија, 194100",+7 800 100-21-12
Stroymag,Санкт-Петербург,stroymag-v-centre-spb.ru,"Литейный пр., 46, Санкт-Петербург, Русија, 191014",+7 911 025-30-08
Magazin Stroitel',Санкт-Петербург,ststroitel.ru,"два торговых зала с отдельными входами, Заневский пр-т., 35, Санкт-Петербург, Русија, 195213",+7 812 242-81-59
Строительный Магазин №1,Санкт-Петербург,ststroitel.ru,"Свечной пер., дом 5, Санкт-Петербург, Русија, 191002",+7 812 710-88-88
Stroitel'nyy Magazin,Санкт-Петербург,ststroitel.ru,"Суворовский пр., дом 56, цокольный этаж под, Сбербанком, Санкт-Петербург, Русија, 191015",+7 812 275-05-11
Krona,Санкт-Петербург,kronaspb.ru,"ул. Шевченко, 18, Санкт-Петербург, Русија, 199106",+7 812 322-66-25
"ТОП ХАУС, Офис продаж ""Парк Победы""",Санкт-Петербург,tophouse.ru,"Кузнецовская ул., 10, Санкт-Петербург, Русија, 196128",+7 812 244-95-25
Stroitel,Санкт-Петербург,ststroitel.ru,"пр. Стачек, 59а, Санкт-Петербург, Русија, 198096",+7 812 783-07-44
"ТД Материк, торгово-складской комплекс «Якорная»",Санкт-Петербург,materik-m.ru,"Якорная ул., 16 К2, Санкт-Петербург, Русија, 195248",+7 812 318-31-92
Obi,Санкт-Петербург,obi.ru,"Пулковское ш., 21к1, Санкт-Петербург, Русија, 196240",+7 812 332-88-00
Building Products,Санкт-Петербург,pulscen.ru,"Литейный пр., 46, Санкт-Петербург, Русија, 191014",+7 981 833-97-92
Leroy Merlin,Санкт-Петербург,spb.leroymerlin.ru,"пр. Культуры, д. 47, Санкт-Петербург, Русија, 194292",+7 800 700-00-99
Stroitel'nyye Gipermarkety,Санкт-Петербург,spb.leroymerlin.ru,"ул. Руставели, 59, Санкт-Петербург, Русија, 195299",+7 800 700-00-99
Lata house,Санкт-Петербург,ladnydom.ru,"Введенский канал, 7, Санкт-Петербург, Русија, 190013",+7 800 200-62-82
"Arkhimed, Stroymarket",Санкт-Петербург,arhimedmarket.ru,"пр. Большевиков, д 9, Санкт-Петербург, Русија, 193231",+7 800 200-62-82
M-Profil',Санкт-Петербург,mprofil.ru,"ул. Оптиков, 22, Санкт-Петербург, Русија, 197374",+7 812 327-80-60
Maxidom,Санкт-Петербург,maxidom.ru,"ул. Фаворского, 12, Санкт-Петербург, Русија, 195220",+7 812 324-55-05
Masterovoy,Санкт-Петербург,masterovoy-spb.ru,"Кирочная ул., 23, Санкт-Петербург, Русија, 191123",+7 812 275-27-03
Arkhimed,Санкт-Петербург,arhimedmarket.ru,"пр. Науки, 21, Санкт-Петербург, Русија, 195220",+7 911 991-40-80
Stroyplyus Spb,Санкт-Петербург,arhimedmarket.ru,"Большой Смоленский пр., 6, Санкт-Петербург, Русија, 192029",+7 812 920-57-07
Skrin,Санкт-Петербург,arhimedmarket.ru,"Лермонтовский пр., 54, Санкт-Петербург, Русија, 190103",+7 812 920-57-07
Minvata Spb,Санкт-Петербург,arhimedmarket.ru,"Хрустальная ул., 27, Санкт-Петербург, Русија, 192019",+7 812 412-15-59
