region,2017,2018,2019,2020,2021,2022
Архангельская область,98.49166666666666,100.42833333333334,105.77833333333331,101.85000000000001,105.35500000000002,105.61833333333334
Архангельская область,98.44416666666667,100.11416666666669,105.75666666666667,102.87583333333332,106.88916666666665,102.91083333333334
Архангельская область,98.77416666666666,100.17333333333333,106.16666666666667,102.16166666666668,105.68916666666667,103.87083333333332
Архангельская область,98.53166666666665,100.09583333333332,105.76166666666667,102.16666666666667,105.63833333333336,104.43916666666667
Архангельская область,98.65250000000002,100.295,105.16166666666668,102.64583333333331,106.22083333333335,104.73416666666667
Архангельская область,98.625,100.2425,104.39666666666666,102.34166666666665,106.9875,104.41666666666664
Архангельская область,98.97166666666668,100.50083333333333,104.46833333333335,101.82083333333333,106.73416666666668,102.50666666666666
Архангельская область,98.85416666666667,100.315,105.20416666666667,101.79416666666668,105.97583333333334,102.72500000000001
Архангельская область,99.0625,100.45083333333332,104.675,102.45416666666667,106.78333333333335,103.80416666666667
Вологодская область,103.73333333333335,103.53083333333332,106.3875,103.5675,100.79166666666669,103.4225
Вологодская область,104.48833333333334,102.68833333333333,106.00416666666666,103.96999999999998,103.33416666666666,104.54083333333331
Вологодская область,103.68916666666667,102.92166666666667,103.93083333333334,103.21416666666666,104.13833333333334,107.90916666666665
Вологодская область,103.68916666666667,102.92166666666667,104.8525,103.36416666666666,104.04333333333334,104.31083333333333
Вологодская область,103.99583333333334,103.59499999999998,105.61666666666667,104.06083333333333,102.89750000000002,105.195
Вологодская область,103.84416666666665,103.41249999999998,104.74916666666665,103.3825,104.82999999999998,103.67750000000001
Вологодская область,103.51416666666665,102.88166666666666,103.03833333333334,101.69833333333334,105.56166666666668,103.41333333333336
Вологодская область,103.665,103.62833333333334,105.20750000000002,102.8025,104.03416666666668,103.24083333333334
Вологодская область,104.01416666666665,103.57416666666667,104.60333333333334,103.30916666666667,103.60416666666667,104.39750000000002
Калининградская область,104.95166666666667,99.32333333333334,99.26583333333332,103.42083333333333,104.23333333333333,104.19333333333334
Калининградская область,104.00333333333334,99.79,99.72000000000001,101.46500000000002,106.77250000000002,105.54166666666667
Калининградская область,104.88333333333334,99.31083333333333,99.25999999999999,101.02083333333331,105.63083333333333,105.84083333333332
Калининградская область,104.85666666666667,99.31166666666667,99.24166666666666,101.01083333333331,105.63333333333333,105.81833333333334
Калининградская область,104.22749999999998,98.63416666666666,100.08999999999999,104.52,104.65916666666665,105.55166666666668
Калининградская область,104.12666666666667,99.0075,99.54916666666664,102.6925,105.4825,104.90749999999998
Калининградская область,103.71,99.09249999999999,99.98916666666666,102.14333333333336,104.87583333333333,104.73833333333333
Калининградская область,102.56083333333333,99.05916666666667,99.62083333333334,101.71666666666668,105.40416666666665,103.89666666666666
Калининградская область,104.80333333333334,100.37666666666667,100.12833333333333,101.41916666666668,105.84666666666665,104.72583333333334
Ленинградская область,103.68499999999999,105.06583333333333,103.41916666666668,98.71666666666665,101.82416666666667,104.30666666666666
Ленинградская область,101.70416666666667,104.42833333333336,105.5625,98.2625,102.26583333333333,105.83
Ленинградская область,107.79249999999998,104.49416666666666,103.83,99.29916666666668,103.52749999999999,104.7525
Ленинградская область,107.79249999999998,104.49416666666666,103.83749999999999,99.29666666666668,103.53583333333331,104.69333333333333
Ленинградская область,102.47083333333332,104.71666666666665,103.70333333333333,99.36250000000001,101.78583333333334,107.26083333333334
Ленинградская область,102.62916666666666,101.87833333333333,102.825,99.18666666666665,102.0175,104.66666666666664
Ленинградская область,96.80833333333334,98.79416666666667,101.74833333333333,99.64583333333333,102.38916666666665,103.92666666666668
Ленинградская область,105.53916666666667,104.60249999999998,103.09249999999999,98.91166666666668,102.81333333333333,103.485
Ленинградская область,100.81083333333333,105.75583333333334,103.66583333333334,98.7425,102.03166666666668,104.01750000000003
Мурманская область,101.38666666666667,111.06,104.74833333333335,103.12416666666667,104.58666666666664,105.93083333333334
Мурманская область,102.10666666666667,111.71999999999998,105.56,103.35333333333334,105.39666666666665,106.70083333333334
Мурманская область,102.5825,110.32333333333334,103.51083333333334,103.10166666666665,105.365,107.58666666666666
Мурманская область,102.58166666666666,110.32083333333334,104.56916666666666,103.20416666666667,105.56333333333335,106.46083333333331
Мурманская область,101.90166666666669,111.09333333333335,99.40083333333332,102.67583333333333,104.38166666666667,108.20583333333333
Мурманская область,101.74583333333334,110.22250000000001,102.36416666666668,102.53083333333332,104.89666666666666,105.62666666666667
Мурманская область,96.46749999999999,101.09583333333335,99.8175,101.42833333333334,104.14999999999999,104.19000000000001
Мурманская область,100.83583333333335,109.98166666666668,103.59666666666669,102.98416666666667,105.17083333333333,105.72166666666668
Мурманская область,102.47416666666665,110.63333333333333,103.79166666666667,103.0075,105.23333333333333,106.36416666666666
Ненецкий автономный округ,109.4475,102.83666666666664,104.72666666666667,100.84166666666665,98.79750000000001,105.19249999999998
Ненецкий автономный округ,109.11250000000001,102.72583333333331,104.38000000000001,100.885,100.12666666666667,107.65083333333332
Ненецкий автономный округ,110.56416666666667,103.85333333333331,105.12,100.78833333333331,100.355,105.91020833333332
Ненецкий автономный округ,109.4475,103.85333333333331,105.12,100.78833333333331,100.75904761904762,106.63749999999999
Ненецкий автономный округ,109.92999999999999,103.61166666666666,104.005,101.06833333333334,100.40750000000001,105.83416666666666
Ненецкий автономный округ,109.71333333333331,102.90249999999999,103.71333333333331,100.71666666666665,101.3875,106.54833333333333
Ненецкий автономный округ,108.7975,102.01999999999998,103.47916666666667,100.84916666666668,102.42333333333333,103.38666666666666
Ненецкий автономный округ,109.93916666666667,102.835,104.295,100.84166666666665,100.75904761904762,106.16666666666667
Ненецкий автономный округ,108.07583333333336,101.23166666666667,103.5825,100.79583333333335,101.81583333333333,105.865
Новгородская область,102.03416666666665,103.63333333333333,102.86416666666668,100.49666666666666,103.80666666666666,104.39749999999998
Новгородская область,102.96499999999999,103.21333333333335,102.375,98.83583333333333,109.85416666666667,107.97416666666668
Новгородская область,102.57833333333336,102.62583333333332,102.03416666666665,99.20083333333332,109.84666666666668,107.87833333333333
Новгородская область,102.57833333333336,102.6275,102.03416666666665,99.20083333333332,109.84666666666668,107.90249999999999
Новгородская область,102.71083333333333,103.69416666666665,102.12583333333335,100.8175,108.04,105.765
Новгородская область,102.45999999999998,103.20249999999999,101.83583333333333,100.065,108.83083333333333,105.39583333333331
Новгородская область,102.96750000000002,103.18249999999999,100.4825,99.73416666666667,106.675,104.86416666666666
Новгородская область,102.11083333333335,103.63333333333333,101.56833333333334,99.33583333333335,110.2675,105.21166666666666
Новгородская область,102.92750000000001,104.43333333333334,102.21666666666668,99.96583333333332,110.12083333333335,104.33
Псковская область,104.795,107.06,102.0825,100.51833333333333,102.82999999999998,102.09916666666668
Псковская область,104.33833333333331,102.3075,107.14666666666666,100.0675,104.36500000000001,102.875
Псковская область,104.67833333333333,105.03416666666668,103.40333333333335,100.34750000000001,104.28000000000002,104.65416666666665
