Name,Phone,Address,Website
Petrovich,+7 812 334-88-88,"Индустриальный пр., 73, Санкт-Петербург, Русија, 195279",petrovich.ru
Stroitel',+7 812 364-72-15,"пр. Юрия Гагарина, 34 корпус 2, лит. А, Санкт-Петербург, Русија, 196143",ststroitel.ru
Stroymarket Saturn,+7 800 100-21-12,"Литовская ул., 15, Санкт-Петербург, Русија, 194100",saturn.net
Stroymag,+7 911 025-30-08,"Литейный пр., 46, Санкт-Петербург, Русија, 191014",stroymag-v-centre-spb.ru
Magazin Stroitel',+7 812 242-81-59,"два торговых зала с отдельными входами, Заневский пр-т., 35, Санкт-Петербург, Русија, 195213",ststroitel.ru
Строительный Магазин №1,+7 812 710-88-88,"Свечной пер., дом 5, Санкт-Петербург, Русија, 191002",ststroitel.ru
Stroitel'nyy Magazin,+7 812 275-05-11,"Суворовский пр., дом 56, цокольный этаж под, Сбербанком, Санкт-Петербург, Русија, 191015",ststroitel.ru
Krona,+7 812 322-66-25,"ул. Шевченко, 18, Санкт-Петербург, Русија, 199106",kronaspb.ru
"ТОП ХАУС, Офис продаж ""Парк Победы""",+7 812 244-95-25,"Кузнецовская ул., 10, Санкт-Петербург, Русија, 196128",tophouse.ru
Stroitel,+7 812 783-07-44,"пр. Стачек, 59а, Санкт-Петербург, Русија, 198096",ststroitel.ru
"ТД Материк, торгово-складской комплекс «Якорная»",+7 812 318-31-92,"Якорная ул., 16 К2, Санкт-Петербург, Русија, 195248",materik-m.ru
Obi,+7 812 332-88-00,"Пулковское ш., 21к1, Санкт-Петербург, Русија, 196240",obi.ru
Building Products,+7 981 833-97-92,"Литейный пр., 46, Санкт-Петербург, Русија, 191014",pulscen.ru
Leroy Merlin,+7 800 700-00-99,"пр. Культуры, д. 47, Санкт-Петербург, Русија, 194292",spb.leroymerlin.ru
Stroitel'nyye Gipermarkety,+7 800 700-00-99,"ул. Руставели, 59, Санкт-Петербург, Русија, 195299",spb.leroymerlin.ru
Lata house,+7 800 200-62-82,"Введенский канал, 7, Санкт-Петербург, Русија, 190013",ladnydom.ru
"Arkhimed, Stroymarket",+7 800 200-62-82,"пр. Большевиков, д 9, Санкт-Петербург, Русија, 193231",arhimedmarket.ru
M-Profil',+7 812 327-80-60,"ул. Оптиков, 22, Санкт-Петербург, Русија, 197374",mprofil.ru
Maxidom,+7 812 324-55-05,"ул. Фаворского, 12, Санкт-Петербург, Русија, 195220",maxidom.ru
Masterovoy,+7 812 275-27-03,"Кирочная ул., 23, Санкт-Петербург, Русија, 191123",masterovoy-spb.ru
Arkhimed,+7 911 991-40-80,"пр. Науки, 21, Санкт-Петербург, Русија, 195220",arhimedmarket.ru
Stroyplyus Spb,+7 812 920-57-07,"Большой Смоленский пр., 6, Санкт-Петербург, Русија, 192029",arhimedmarket.ru
Skrin,+7 812 920-57-07,"Лермонтовский пр., 54, Санкт-Петербург, Русија, 190103",arhimedmarket.ru
