region,2017,2018,2019,2020,2021,2022
    Северо-Западный федеральный округ,99.01,99.98,101.14,100.22,100.12,100.61
    Северо-Западный федеральный округ,98.85,99.98,101.26,100.18,100.18,100.76
    Северо-Западный федеральный округ,99.61,99.43,100.91,100.15,100.29,100.61
    Северо-Западный федеральный округ,99.28,99.86,101.27,100.29,100.18,100.7
    Северо-Западный федеральный округ,98.83,100.03,101.3,100.15,99.95,100.6
    Северо-Западный федеральный округ,99.45,98.45,101.0,100.41,100.26,100.5
    Северо-Западный федеральный округ,99.25,99.97,101.14,100.06,100.4,100.61
    Северо-Западный федеральный округ,99.0,99.98,101.14,100.18,100.33,100.6
    Северо-Западный федеральный округ,98.8,99.68,101.21,100.22,100.31,100.72
    Северо-Западный федеральный округ,99.14,99.66,101.13,100.13,100.52,100.63
    Северо-Западный федеральный округ,98.7,99.59,101.16,100.14,100.03,100.78
    Северо-Западный федеральный округ,99.31,99.77,101.43,100.17,99.9,100.75
    Северо-Западный федеральный округ,99.15,99.85,101.2,99.91,100.48,100.55
    Северо-Западный федеральный округ,99.23,99.66,101.04,100.01,100.52,100.58
    Северо-Западный федеральный округ,99.28,100.05,101.16,100.15,100.29,100.57
    Северо-Западный федеральный округ,99.57,99.81,101.18,100.19,100.01,100.57
    Северо-Западный федеральный округ,99.63,99.86,101.08,100.17,100.31,100.56
    Северо-Западный федеральный округ,99.03,99.99,101.05,100.22,100.21,100.67
    Северо-Западный федеральный округ,99.01,99.8,101.37,100.04,100.31,100.73
        Республика Карелия,100.68,99.85,102.04,100.46,99.98,100.66
        Республика Карелия,100.73,99.74,100.89,100.59,99.7,100.81
        Республика Карелия,100.84,99.93,101.39,100.51,100.43,100.64
        Республика Карелия,100.93,99.72,101.03,100.66,99.7,100.77
        Республика Карелия,100.82,100.15,105.4,100.38,99.18,100.45
        Республика Карелия,100.59,99.65,101.55,100.08,100.0,100.84
        Республика Карелия,100.61,100.24,101.6,100.26,100.01,100.62
        Республика Карелия,101.08,99.86,101.01,100.71,100.24,100.65
        Республика Карелия,100.57,,101.31,100.56,99.99,100.72
        Республика Карелия,101.13,100.16,101.56,100.66,100.3,100.62
        Республика Карелия,100.53,99.9,103.44,100.39,100.04,100.77
        Республика Карелия,100.58,100.14,103.55,100.39,100.01,100.77
        Республика Карелия,101.05,100.07,101.55,100.22,100.14,100.55
        Республика Карелия,,100.13,,100.09,,100.57
        Республика Карелия,101.08,100.36,101.66,100.49,99.89,100.82
        Республика Карелия,100.94,99.8,101.56,100.47,99.52,100.59
        Республика Карелия,100.59,99.94,100.99,100.4,100.07,100.6
        Республика Карелия,101.09,100.31,101.56,100.52,100.04,100.72
        Республика Карелия,100.73,99.81,103.55,100.39,,100.55
        Республика Коми,99.25,99.56,101.35,99.6,99.43,100.66
        Республика Коми,99.87,99.75,101.4,99.76,99.28,100.67
        Республика Коми,99.72,99.77,101.33,99.73,99.47,100.62
        Республика Коми,99.43,99.53,101.38,99.63,99.16,100.72
        Республика Коми,101.09,99.84,101.57,99.72,98.06,100.43
        Республика Коми,99.83,100.19,101.33,100.24,99.86,100.82
        Республика Коми,99.5,99.55,101.36,99.53,99.76,100.55
        Республика Коми,99.42,99.74,101.32,99.59,99.36,100.54
        Республика Коми,,99.38,101.29,99.69,99.34,100.68
        Республика Коми,99.63,99.52,101.32,99.7,99.37,100.63
        Республика Коми,99.81,99.51,101.28,99.79,99.27,100.7
        Республика Коми,99.81,99.51,101.29,99.83,99.28,100.71
        Республика Коми,99.83,99.62,101.28,99.46,99.91,100.52
        Республика Коми,99.6,99.48,,99.47,99.82,100.53
        Республика Коми,99.91,99.57,101.34,99.75,99.53,100.52
        Республика Коми,99.94,99.69,101.41,99.7,99.09,100.5
        Республика Коми,100.25,99.54,101.42,99.75,99.56,100.56
